instancia, alpha, numeroiteracionesgrasp, replica, valoroptimo, valorobjetivo, iteracionmejorsolucion, tiempohallarmejorsolucion, tiempototal 
b51.tsp 0.2 4 1 429.98331198338406 443.88526071725516 2 2.3542653338143116 4.060776799554441
b51.tsp 0.2 8 1 429.98331198338406 432.62422148481676 5 4.706479769492814 6.779522413020215
b51.tsp 0.2 16 1 429.98331198338406 441.8243687170598 8 7.1488440680473175 14.600239684003508
b51.tsp 0.2 4 2 429.98331198338406 434.66584812485985 2 1.8155266331491404 3.2625886174247825
b51.tsp 0.2 8 2 429.98331198338406 438.5360449584632 1 0.7429135492401144 6.099927400500192
b51.tsp 0.2 16 2 429.98331198338406 435.0409851044976 8 7.0141365263026 13.307530575558566
b51.tsp 0.2 4 3 429.98331198338406 438.56605979764413 3 2.009340431280272 2.563451510024315
b51.tsp 0.2 8 3 429.98331198338406 443.755404183869 4 3.54066764371607 7.3170439777884795
b51.tsp 0.2 16 3 429.98331198338406 435.4432540937585 8 7.801959431822134 15.106653646049516
b51.tsp 0.2 4 4 429.98331198338406 443.2182165754762 2 1.14897990910724 2.7529606559010205
b51.tsp 0.2 8 4 429.98331198338406 437.8621968703204 8 7.772655798375638 7.772748472165404
b51.tsp 0.2 16 4 429.98331198338406 441.4678974106641 5 4.248966174066737 14.031896386476873
b51.tsp 0.3 4 1 429.98331198338406 433.79089420285754 1 1.257349680547108 3.876630658723485
b51.tsp 0.3 8 1 429.98331198338406 447.4888644135036 6 6.460896339687167 8.982066867007063
b51.tsp 0.3 16 1 429.98331198338406 437.40000052281704 9 8.20414828410101 15.194491795954661
b51.tsp 0.3 4 2 429.98331198338406 437.78887818493126 1 0.9456789713511284 3.7101136687802665
b51.tsp 0.3 8 2 429.98331198338406 437.72840940938886 3 3.5072456112017676 7.851960714765482
b51.tsp 0.3 16 2 429.98331198338406 438.0142789026108 3 3.668872926725811 16.111489285913734
b51.tsp 0.3 4 3 429.98331198338406 436.9953386423081 1 1.1508623643287308 3.7262947539691993
b51.tsp 0.3 8 3 429.98331198338406 441.3055670732779 1 1.038398645211828 8.035835475345607
b51.tsp 0.3 16 3 429.98331198338406 438.2052104640107 1 0.7112812981575587 16.22014824787675
b51.tsp 0.3 4 4 429.98331198338406 449.41769732490434 4 3.965702245452718 3.9658078996104393
b51.tsp 0.3 8 4 429.98331198338406 437.9973126040969 1 0.8794386443665871 9.212711704518512
b51.tsp 0.3 16 4 429.98331198338406 435.9270143987395 3 3.2659734747690266 15.833674093147721
b51.tsp 0.4 4 1 429.98331198338406 443.53222821683977 3 3.867903323427015 4.979995139908738
b51.tsp 0.4 8 1 429.98331198338406 436.5365498633514 4 5.155371381911095 9.959685693974222
